STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TMAX,TMIN
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-07-08,76,60
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-07-09,70,59
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-07-10,73,59
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-07-11,74,55
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-07-12,75,59
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-07-13,77,58
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-07-14,72,56
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-07-15,84,55
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-07-16,84,63
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-07-17,82,63
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-07-18,83,60
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-07-19,91,63
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-07-20,88,66
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-07-21,82,62
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-07-22,78,58
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-07-23,72,55
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-07-24,81,53
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-07-25,77,55
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-07-26,83,54
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-07-27,89,56
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-07-28,97,57
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-07-29,91,60
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-07-30,84,65
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-07-31,85,64
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-08-01,86,63
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-08-02,81,62
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-08-03,76,59
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-08-04,76,57
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-08-05,84,56
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-08-06,77,58
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-08-07,84,59
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-08-08,79,59
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-08-09,79,54
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-08-10,77,57
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-08-11,79,57
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-08-12,83,60
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-08-13,79,60
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-08-14,81,62
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-08-15,96,57
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-08-16,101,62
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-08-17,92,60
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-08-18,80,62
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-08-19,80,62
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-08-20,80,62
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-08-21,82,60
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-08-22,81,57
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-08-23,79,61
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-08-24,80,60
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-08-25,81,56
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-08-26,89,58
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-08-27,94,60
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-08-28,97,63
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-08-29,79,64
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-08-30,79,60
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-08-31,87,57
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-09-01,85,56
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-09-02,74,58
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-09-03,73,54
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-09-04,71,49
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-09-05,82,49
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-09-06,88,50
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-09-07,93,52
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-09-08,98,56
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-09-09,100,60
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-09-10,98,62
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-09-11,92,63
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-09-12,76,61
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-09-13,79,61
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-09-14,75,61
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-09-15,71,56
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-09-16,74,52
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-09-17,76,55
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-09-18,84,53
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-09-19,92,52
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-09-20,98,56
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-09-21,97,62
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-09-22,76,55
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-09-23,85,51
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-09-24,92,57
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-09-25,84,55
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-09-26,87,56
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-09-27,76,56
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-09-28,75,55
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-09-29,70,56
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-09-30,66,58
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-10-01,76,58
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-10-02,84,53
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-10-03,77,52
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-10-04,77,49
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-10-05,79,54
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-10-06,78,55
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-10-07,79,56
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-10-08,86,56
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-10-09,85,53
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-10-10,81,57
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-10-11,81,59
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-10-12,90,54
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-10-13,96,59
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-10-14,82,60
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-10-15,77,60
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-10-16,80,60
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-10-17,71,61
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-10-18,72,55
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-10-19,71,58
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-10-20,82,52
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-10-21,83,50
